"id";"name";"shortname"
(0x00, 0x01, 0x27);"Angel Software";
(0x00, 0x01, 0x28);"St Louis Music";
(0x00, 0x01, 0x29);"Lyrrus dba G-VOX";
(0x00, 0x01, 0x2A);"Ashley Audio Inc.";
(0x00, 0x01, 0x2B);"Vari-Lite Inc.";
(0x00, 0x01, 0x2C);"Summit Audio Inc.";
(0x00, 0x01, 0x2D);"Aureal Semiconductor Inc.";
(0x00, 0x01, 0x2E);"SeaSound LLC";
(0x00, 0x01, 0x2F);"U.S. Robotics";
(0x00, 0x01, 0x30);"Aurisis Research";
(0x00, 0x01, 0x31);"Nearfield Research";
(0x00, 0x01, 0x32);"FM7 Inc";
(0x00, 0x01, 0x33);"Swivel Systems";
(0x00, 0x01, 0x34);"Hyperactive Audio Systems";
(0x00, 0x01, 0x35);"MidiLite (Castle Studios Productions)";"MidiLite"
(0x00, 0x01, 0x36);"Radikal Technologies";
(0x00, 0x01, 0x37);"Roger Linn Design";
(0x00, 0x01, 0x38);"TC-Helicon Vocal Technologies";
(0x00, 0x01, 0x39);"Event Electronics";
(0x00, 0x01, 0x3A);"Sonic Network Inc";
(0x00, 0x01, 0x3B);"Realtime Music Solutions";
(0x00, 0x01, 0x3C);"Apogee Digital";"Apogee"
(0x00, 0x01, 0x3D);"Classical Organs, Inc.";
(0x00, 0x01, 0x3E);"Microtools Inc.";
(0x00, 0x01, 0x3F);"Numark Industries";
(0x00, 0x01, 0x40);"Frontier Design Group, LLC";
(0x00, 0x01, 0x41);"Recordare LLC";
(0x00, 0x01, 0x42);"Starr Labs";
(0x00, 0x01, 0x43);"Voyager Sound Inc.";
(0x00, 0x01, 0x44);"Manifold Labs";
(0x00, 0x01, 0x45);"Aviom Inc.";"Aviom"
(0x00, 0x01, 0x46);"Mixmeister Technology";
(0x00, 0x01, 0x47);"Notation Software";
(0x00, 0x01, 0x48);"Mercurial Communications";
(0x00, 0x01, 0x49);"Wave Arts";
(0x00, 0x01, 0x4A);"Logic Sequencing Devices";
(0x00, 0x01, 0x4B);"Axess Electronics";"Axess"
(0x00, 0x01, 0x4C);"Muse Research";
(0x00, 0x01, 0x4D);"Open Labs";
(0x00, 0x01, 0x4E);"Guillemot R&D Inc";
(0x00, 0x01, 0x4F);"Samson Technologies";
(0x00, 0x01, 0x50);"Electronic Theatre Controls";
(0x00, 0x01, 0x51);"Blackberry (RIM)";"Blackberry"
(0x00, 0x01, 0x52);"Mobileer";
(0x00, 0x01, 0x53);"Synthogy";
(0x00, 0x01, 0x54);"Lynx Studio Technology Inc.";
(0x00, 0x01, 0x55);"Damage Control Engineering LLC";
(0x00, 0x01, 0x56);"Yost Engineering, Inc.";
(0x00, 0x01, 0x57);"Brooks & Forsman Designs LLC / DrumLite";
(0x00, 0x01, 0x58);"Infinite Response";
(0x00, 0x01, 0x59);"Garritan Corp";
(0x00, 0x01, 0x5A);"Plogue Art et Technologie, Inc";
(0x00, 0x01, 0x5B);"RJM Music Technology";
(0x00, 0x01, 0x5C);"Custom Solutions Software";
(0x00, 0x01, 0x5D);"Sonarcana LLC";
(0x00, 0x01, 0x5E);"Centrance";
(0x00, 0x01, 0x5F);"Kesumo LLC";
(0x00, 0x01, 0x60);"Stanton (Gibson)";
(0x00, 0x01, 0x61);"Livid Instruments";
(0x00, 0x01, 0x62);"First Act / 745 Media";
(0x00, 0x01, 0x63);"Pygraphics, Inc.";
(0x00, 0x01, 0x64);"Panadigm Innovations Ltd";
(0x00, 0x01, 0x65);"Avedis Zildjian Co";
(0x00, 0x01, 0x66);"Auvital Music Corp";
(0x00, 0x01, 0x67);"Inspired Instruments Inc";
(0x00, 0x01, 0x68);"Chris Grigg Designs";
(0x00, 0x01, 0x69);"Slate Digital LLC";
(0x00, 0x01, 0x6A);"Mixware";
(0x00, 0x01, 0x6B);"Social Entropy";
(0x00, 0x01, 0x6C);"Source Audio LLC";
(0x00, 0x01, 0x6D);"Ernie Ball / Music Man";
(0x00, 0x01, 0x6E);"Fishman Transducers";
(0x00, 0x01, 0x6F);"Custom Audio Electronics";
(0x00, 0x01, 0x70);"American Audio/DJ";
(0x00, 0x01, 0x71);"Mega Control Systems";
(0x00, 0x01, 0x72);"Kilpatrick Audio";
(0x00, 0x01, 0x73);"iConnectivity";
(0x00, 0x01, 0x74);"Fractal Audio";
(0x00, 0x01, 0x75);"NetLogic Microsystems";
(0x00, 0x01, 0x76);"Music Computing";
(0x00, 0x01, 0x77);"Nektar Technology Inc";
(0x00, 0x01, 0x78);"Zenph Sound Innovations";
(0x00, 0x01, 0x79);"DJTechTools.com";
(0x00, 0x01, 0x7A);"Rezonance Labs";
(0x00, 0x01, 0x7B);"Decibel Eleven";
(0x00, 0x01, 0x7C);"CNMAT";
(0x00, 0x01, 0x7D);"Media Overkill";
(0x00, 0x01, 0x7E);"Confusionists LLC";
(0x00, 0x20, 0x27);"Acorn Computer";
(0x00, 0x20, 0x29);"Focusrite/Novation";"Novation"
(0x00, 0x20, 0x2A);"Samkyung Mechatronics";
(0x00, 0x20, 0x2B);"Medeli Electronics Co.";
(0x00, 0x20, 0x2C);"Charlie Lab SRL";
(0x00, 0x20, 0x2D);"Blue Chip Music Technology";
(0x00, 0x20, 0x2E);"BEE OH Corp";
(0x00, 0x20, 0x2F);"LG Semicon America";
(0x00, 0x20, 0x30);"TESI";
(0x00, 0x20, 0x31);"EMAGIC";
(0x00, 0x20, 0x32);"Behringer GmbH";"Behringer"
(0x00, 0x20, 0x33);"Access Music Electronics";"Access"
(0x00, 0x20, 0x34);"Synoptic";
(0x00, 0x20, 0x35);"Hanmesoft";
(0x00, 0x20, 0x36);"Terratec Electronic GmbH";
(0x00, 0x20, 0x37);"Proel SpA";
(0x00, 0x20, 0x38);"IBK MIDI";
(0x00, 0x20, 0x39);"IRCAM";
(0x00, 0x20, 0x3A);"Propellerhead Software";
(0x00, 0x20, 0x3B);"Red Sound Systems Ltd";
(0x00, 0x20, 0x3C);"Elektron ESI AB";
(0x00, 0x20, 0x3D);"Sintefex Audio";
(0x00, 0x20, 0x3E);"MAM (Music and More)";"MAM"
(0x00, 0x20, 0x3F);"Amsaro GmbH";
(0x00, 0x20, 0x40);"CDS Advanced Technology BV";
(0x00, 0x20, 0x41);"Touched By Sound GmbH";
(0x00, 0x20, 0x42);"DSP Arts";
(0x00, 0x20, 0x43);"Phil Rees Music Tech";
(0x00, 0x20, 0x44);"Stamer Musikanlagen GmbH";
(0x00, 0x20, 0x45);"Musical Muntaner S.A. dba Soundart";
(0x00, 0x20, 0x46);"C-Mexx Software";"C-Mexx"
(0x00, 0x20, 0x47);"Klavis Technologies";
(0x00, 0x20, 0x48);"Noteheads AB";
(0x00, 0x20, 0x49);"Algorithmix";
(0x00, 0x20, 0x4A);"Skrydstrup R&D";
(0x00, 0x20, 0x4B);"Professional Audio Company";
(0x00, 0x20, 0x4C);"NewWave Labs (MadWaves)";
(0x00, 0x20, 0x4D);"Vermona";
(0x00, 0x20, 0x4E);"Nokia";
(0x00, 0x20, 0x4F);"Wave Idea";
(0x00, 0x20, 0x50);"Hartmann GmbH";
(0x00, 0x20, 0x51);"Lion's Tracs";
(0x00, 0x20, 0x52);"Analogue Systems";
(0x00, 0x20, 0x53);"Focal-JMlab";
(0x00, 0x20, 0x54);"Ringway Electronics (Chang-Zhou) Co Ltd";
(0x00, 0x20, 0x55);"Faith Technologies (Digiplug)";
(0x00, 0x20, 0x56);"Showworks";
(0x00, 0x20, 0x57);"Manikin Electronic";"Manikin"
(0x00, 0x20, 0x58);"1 Come Tech";
(0x00, 0x20, 0x59);"Phonic Corp";
(0x00, 0x20, 0x5A);"Dolby Australia (Lake)";
(0x00, 0x20, 0x5B);"Silansys Technologies";
(0x00, 0x20, 0x5C);"Winbond Electronics";
(0x00, 0x20, 0x5D);"Cinetix Medien und Interface GmbH";
(0x00, 0x20, 0x5E);"A&G Soluzioni Digitali";
(0x00, 0x20, 0x5F);"Sequentix Music Systems";
(0x00, 0x20, 0x60);"Oram Pro Audio";
(0x00, 0x20, 0x61);"Be4 Ltd";
(0x00, 0x20, 0x62);"Infection Music";
(0x00, 0x20, 0x63);"Central Music Co. (CME)";"CME"
(0x00, 0x20, 0x64);"genoQs Machines GmbH";
(0x00, 0x20, 0x65);"Medialon";
(0x00, 0x20, 0x66);"Waves Audio Ltd";
(0x00, 0x20, 0x67);"Jerash Labs";
(0x00, 0x20, 0x68);"Da Fact";
(0x00, 0x20, 0x69);"Elby Designs";
(0x00, 0x20, 0x6A);"Spectral Audio";
(0x00, 0x20, 0x6B);"Arturia";
(0x00, 0x20, 0x6C);"Vixid";
(0x00, 0x20, 0x6D);"C-Thru Music";
(0x00, 0x20, 0x6E);"Ya Horng Electronic Co LTD";
(0x00, 0x20, 0x6F);"SM Pro Audio";
(0x00, 0x20, 0x70);"OTO MACHINES";
(0x00, 0x20, 0x71);"ELZAB S.A., G LAB";
(0x00, 0x20, 0x72);"Blackstar Amplification Ltd";
(0x00, 0x20, 0x73);"M3i Technologies GmbH";
(0x00, 0x20, 0x74);"Gemalto (from Xiring)";
(0x00, 0x20, 0x75);"Prostage SL";
(0x00, 0x20, 0x76);"Teenage Engineering";
(0x00, 0x20, 0x77);"Tobias Erichsen Consulting";
(0x00, 0x20, 0x78);"Nixer Ltd";
(0x00, 0x20, 0x79);"Hanpin Electron Co Ltd";
(0x00, 0x20, 0x7A);"""MIDI-hardware"" R.Sowa";
(0x00, 0x20, 0x7B);"Beyond Music Industrial Ltd";
(0x00, 0x20, 0x7C);"Kiss Box B.V.";
(0x00, 0x20, 0x7D);"Misa Digital Technologies Ltd";
(0x00, 0x20, 0x7E);"AI Musics Technology Inc";
(0x00, 0x20, 0x7F);"Serato Inc LP";
(0x00, 0x21, 0x00);"Limex Music Handles GmbH";
(0x00, 0x21, 0x01);"Kyodday/Tokai";
(0x00, 0x21, 0x02);"Mutable Instruments";
(0x00, 0x21, 0x03);"PreSonus Software Ltd";"PreSonus"
(0x00, 0x21, 0x04);"Xiring";
(0x00, 0x21, 0x05);"Fairlight Instruments Pty Ltd";"Fairlight"
(0x00, 0x21, 0x06);"Musicom Lab";
(0x00, 0x21, 0x07);"VacoLoco";
(0x00, 0x21, 0x08);"RWA (Hong Kong) Limited";
(0x00, 0x21, 0x09);"Native Instruments";"NI"
(0x00, 0x21, 0x0A);"Naonext";
(0x00, 0x21, 0x0B);"MFB";
(0x00, 0x21, 0x0C);"Teknel Research";
(0x00, 0x21, 0x0D);"Ploytec GmbH";"Ploytec"
(0x00, 0x21, 0x0E);"Surfin Kangaroo Studio";
(0x00, 0x21, 0x0F);"Philips Electronics HK Ltd";"Philips"
(0x00, 0x21, 0x10);"ROLI Ltd";
(0x00, 0x40, 0x00);"Crimson Technology Inc.";
(0x00, 0x40, 0x01);"Softbank Mobile Corp";
(0x00, 0x40, 0x03);"D&M Holdings Inc.";
0x01;"Sequential Circuits";
0x04;"Moog";
0x06;"Lexicon";
0x07;"Kurzweil";
0x0F;"Ensoniq";
0x10;"Oberheim";
0x11;"Apple";
0x18;"Emu";
0x1A;"ART";
0x22;"Synthaxe";
0x24;"Hohner";
0x29;"PPG";
0x2B;"SSL";
0x2F;"Elka / General Music";"GEM"
0x30;"Dynacord";
0x33;"Clavia (Nord)";"Clavia"
0x36;"Cheetah";
0x3E;"Waldorf Electronics Gmbh";"Waldorf"
0x40;"Kawai Musical Instruments MFG. CO. Ltd";"Kawai"
0x41;"Roland Corporation";"Roland"
0x42;"Korg Inc.";"Korg"
0x43;"Yamaha Corporation";"Yamaha"
0x44;"Casio Computer Co. Ltd";"Casio"
0x46;"Kamiya Studio Co. Ltd";
0x47;"Akai Electric Co. Ltd.";"Akai"
0x48;"Victor Company of Japan, Ltd.";"JVC"
0x4B;"Fujitsu Limited";"Fujitsu"
0x4C;"Sony Corporation";"Sony"
0x4E;"Teac Corporation";"Teac"
0x50;"Matsushita Electric Industrial Co. , Ltd";"M-Audio"
0x51;"Fostex Corporation";"Fostex"
0x52;"Zoom Corporation";"Zoom"
0x54;"Matsushita Communication Industrial Co., Ltd.";
0x55;"Suzuki Musical Instruments MFG. Co., Ltd.";"Suzuki"
0x56;"Fuji Sound Corporation Ltd.";"Fuji"
0x57;"Acoustic Technical Laboratory, Inc.";
0x59;"Faith, Inc.";
0x5A;"Internet Corporation";
0x5C;"Seekers Co. Ltd.";
0x5F;"SD Card Association";
